Date,AMZN Percent Change Rate,APPL Percent Change Rate,Bitcoin Percent Change Rate,DOW Percent Change Rate,Ethereum Percent Change Rate,META Percent Change Rate,Solana Percent Change Rate,MSFT Percent Change Rate,S&P 500 Composite Percent Change Rate,NASDAQ Composite Percent Change Rate,S&P Gold Percent Change Rate,NVDA Percent Change Rate,TSLA Percent Change Rate,Oil Percent Change Rate,XMAG Percent Change Rate,Silver Percent Change Rate
2020-08-11,97.85620807074608,97.02601406045552,96.01899233564929,99.62387699234009,95.82332566429854,97.38783269961976,,97.66146458583434,99.2030876633328,98.30840709094156,95.42074726533224,97.17868338557994,96.8855277599782,98.84589273591313,,89.01842855186536
2020-08-12,102.6478006407697,103.32342857142858,101.59194375080344,101.04717355602342,102.13978522994115,101.46800452895012,113.86387752008488,102.8567214082014,101.3996502374246,102.12764378891607,100.13855182455984,105.44055299539173,113.1236766856569,103.228021978022,,99.68506075832288
2020-08-13,99.96141975308642,101.76975488894789,101.60834293338344,99.71362026590566,109.60684025625127,100.54253722728848,99.31306246338995,99.76576318179646,99.79528747023238,100.2747851481624,101.0980682459109,100.02360077969983,104.2604632674936,99.51208693723662,,106.70005904660492
2020-08-14,99.58874034330692,99.91087731501608,99.8288467947562,100.12295352285145,103.2523390917018,99.97703788748564,91.41823056300268,100.09583133684716,99.9828068168007,99.78990264885668,98.9548283617218,101.0574150135454,101.83284952719016,99.97771339425006,,94.11786056285725
2020-08-15,,,101.04324251561351,,98.6784140969163,,93.05258218716092,,,,,,,,,
2020-08-16,,,100.23006310326988,,100.30070318282752,,106.79167979829812,,,,,,,,,
2020-08-17,101.09243270373123,99.73892043600289,103.30670359592888,99.69170477841485,99.05447165721138,99.96937681825142,91.7810240519404,100.66060315940642,100.27098744385312,101.00215077182762,102.5079502109779,106.6845382220685,111.20308158120956,100.11145786892554,,106.0540920109645
2020-08-18,104.08746830232435,100.8332787993805,97.36331027185652,99.75995612842706,98.28645930340846,100.4518302956042,107.41800643086816,100.57542324519687,100.23033775972137,100.7287688021183,100.72014162212328,99.38234578908973,102.80283486726576,100.95747049654868,,101.4687267752546
2020-08-19,98.42988205247411,100.1254732287723,98.08067933651176,99.69331922628174,96.51317036194808,100.09529618052908,86.4130272098662,99.15362428483616,99.55955843742072,99.42573437851222,97.87379270332067,99.00251207099048,99.54636539881612,99.71327745919716,,97.38315356016427
2020-08-20,101.13142850132498,102.21895728453212,101.14375201912308,100.16917705922964,101.67877478892598,102.44487604249971,110.9810170430927,102.32713400095376,100.31586589033589,101.06302808245847,98.792628495711,100.02059562548916,106.56363935436784,98.56226498562263,,99.29342562810352
2020-08-21,99.61636091794368,105.15324455717608,97.1712529868927,100.68710113616824,92.91059187023272,99.25653321437863,91.50696048442477,99.27299841550936,100.3441135899761,100.41589177049164,100.02558966530482,104.4683304505395,102.40529794972704,98.60861759425494,,98.46988049499362
2020-08-22,,,101.3029203376917,,102.68374425190304,,102.7594910802606,,,,,,,,,
2020-08-23,,,99.7624324619205,,99.38518368586176,,107.88023634070238,,,,,,,,,
2020-08-24,100.69229645144792,101.19602798102436,100.94697133333604,101.35383291210664,103.79063669458516,101.6403880004494,102.7846153846154,100.31452445779738,101.00436835474338,100.60043494404074,99.59949186633264,100.29014073402452,98.25464236009992,101.1151570323168,,99.55441874682192
2020-08-25,101.18005962279211,99.17962775361023,96.58096698355254,99.7879785760158,93.990679421143,103.47470430008474,97.2908247268373,101.30094997426178,100.35963255694666,100.762321041291,99.1691909797878,100.23348505931465,100.45375301329086,103.55615575061894,,98.74379553922309
2020-08-26,102.84955281503905,101.35990386541155,100.89788022661514,100.29552074380037,100.72025052192066,108.22234883555303,109.79692307692308,102.16196239663697,101.01956661884876,101.73191923931252,101.5290629130792,100.18039215686274,106.41659018425467,99.52184307759184,,104.47931975348168
2020-08-27,98.78408414079637,98.80456045367426,98.67120107340672,100.56596940835638,99.30303658410196,96.48251126978384,96.68478870081827,102.45534704951392,100.16730243508408,99.65949596487287,98.98043562405434,98.86714162686916,103.97465040506546,97.92531120331952,,98.4688294873453
2020-08-28,100.05294117647058,99.83801295896328,101.64075744088888,100.56717137665758,103.0892060427375,100.15005797694565,116.12127184719286,101.02833436313884,100.6732576659827,100.60462747756192,102.18900255072565,104.1137762010722,98.86767245047072,100.84745762711864,,102.22140087517712
2020-08-29,,,99.89798362009157,,100.93391713699982,,98.6820757307241,,,,,,,,,
2020-08-30,,,101.85190178599564,,106.697592778335,,112.0753762488934,,,,,,,,,
2020-08-31,101.445117290846,103.39122248262322,99.64270469756468,99.21888387153288,101.94590021386102,99.8433562623442,107.05500011284389,98.52343715870866,99.78050233608228,100.6825626323678,100.18785875804488,101.72424283910615,112.56884483000483,,,102.99529027897444
2020-09-01,101.39555370099912,103.98326100433974,102.27999525809952,100.75838769189642,109.59219899029485,100.76398362892223,91.48729840834828,100.77151598456967,100.75250477814824,101.39451027815474,100.01475745685616,103.33844255860032,95.33029071072993,101.10570544007076,,100.17230996906738
2020-09-02,100.92394659228606,97.9281562080787,95.6163672886798,101.58781469863148,92.3601177955406,102.38965610614676,96.08959144641337,101.92722312667752,101.53658571165268,100.97800022948708,98.27189640057978,103.80218508067432,94.17322387117146,93.39457567804024,,95.65751769617248
2020-09-03,95.37158957368788,91.99391171993912,89.61783013193858,97.22420576966032,86.8634417418238,96.2380165289256,84.05515587529977,93.80530973451329,96.48741636040704,95.03717515286436,99.64494532864636,90.7224758651936,90.9761921845882,100.04683840749414,,98.11369250760376
2020-09-04,97.8212589073634,100.066181336863,102.52405858295955,99.43653369611204,101.77766124803355,97.1180269304754,100.71324641237054,98.5964104924068,99.18670008625033,98.73478150827798,99.81918099627724,96.98052322231186,102.78130152793574,96.20786516853931,,99.40527251506047
2020-09-05,,,96.71807743062789,,86.27698490391056,,73.79960907623013,,,,,,,,,
2020-09-06,,,101.25810239391195,,105.54775909945955,,118.76631352679256,,,,,,,,,
2020-09-07,,,100.96726545819637,,99.59546238931794,,94.49274425519538,,,,,,,98.95377128953773,,
2020-09-08,95.60556300878402,93.27050264550265,97.64168079619488,97.75205974696898,95.83309663125604,95.90775651681815,84.41358552519068,94.59043173862312,97.2243621168616,95.88584237960671,100.4608581373872,94.37908496732024,78.93717728055077,94.73813621834276,,101.08368492059196
