,Date,Silver Price,Silver Percent Change Rate
0,08-30-2000,4.929999828338623,
1,08-31-2000,5.002999782562256,101.48072934615564
2,09-01-2000,5.004000186920166,100.01999609037355
3,09-05-2000,4.998000144958496,99.88009508917779
4,09-06-2000,4.982999801635742,99.6998730914827
5,09-07-2000,4.934999942779541,99.0367276586998
6,09-08-2000,4.922999858856201,99.75683720238139
7,09-11-2000,4.885000228881836,99.22812043339782
8,09-12-2000,4.908999919891357,100.49129354933551
9,09-13-2000,4.892000198364258,99.6537029577406
10,09-14-2000,4.888000011444092,99.91823003356575
11,09-15-2000,4.868000030517578,99.59083508838607
12,09-18-2000,4.875999927520752,100.16433642056333
13,09-19-2000,4.882999897003174,100.14355967158477
14,09-20-2000,4.829999923706055,98.91460220325528
15,09-21-2000,4.872000217437744,100.86957131252836
16,09-22-2000,4.909999847412109,100.7799595295246
17,09-25-2000,4.914999961853027,100.10183532782702
18,09-26-2000,4.931000232696533,100.325539592425
19,09-27-2000,4.9679999351501465,100.75034882797765
20,09-28-2000,4.953000068664551,99.69807031639701
21,09-29-2000,4.899000168,98.90975368633276
22,10-02-2000,4.906000137329102,100.14288567236281
23,10-03-2000,4.913000106811523,100.14268180363797
24,10-04-2000,4.874000072479248,99.20618698383082
25,10-05-2000,4.888999938964844,100.30775269311734
26,10-06-2000,4.882999897003174,99.87727465664604
27,10-09-2000,4.885000228881836,100.04096522467447
28,10-10-2000,4.918000221252441,100.67553717143139
29,10-11-2000,4.869999885559082,99.02398671138866
30,10-12-2000,4.922999858856201,101.08829516514525
31,10-13-2000,4.882999897003174,99.18748805606667
32,10-16-2000,4.881000042,99.95904454136071
33,10-17-2000,4.8429999351501465,99.22146882764044
34,10-18-2000,4.853000164031982,100.20648831335419
35,10-19-2000,4.828000068664551,99.48485278132236
36,10-20-2000,4.828000068664551,100.0
37,10-23-2000,4.785999774932861,99.13006849348892
38,10-24-2000,4.798999786376953,100.27162582648208
39,10-25-2000,4.763999938964844,99.27068453906865
40,10-26-2000,4.730999946594238,99.30730493716639
41,10-27-2000,4.745999813079834,100.31705488596326
42,10-30-2000,4.748000144958496,100.04214774457321
43,10-31-2000,4.754000186920166,100.12636987739019
44,11-01-2000,4.774000168,100.42069794475104
45,11-02-2000,4.710999965667725,98.68034771438502
46,11-03-2000,4.741000175476074,100.63681193009937
47,11-06-2000,4.761000156402588,100.42185151204947
48,11-07-2000,4.7210001945495605,99.15984119850879
49,11-08-2000,4.738999843597412,100.38126770400544
50,11-09-2000,4.749000072479248,100.21101981877774
51,11-10-2000,4.706999778747559,99.11559711327267
52,11-13-2000,4.671999931335449,99.25642980545408
53,11-14-2000,4.678999900817871,100.14982811612374
